Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
md_eqt_pt_tbilm_man_4,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of transcutaneous bilirubinometer 4?,,,,,,,[md_eqt_pt_tbilm_avl] >= 4,,,,,,
md_eqt_pt_tbilm_mod_4,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of transcutaneous bilirubinometer 4?,,,,,,,[md_eqt_pt_tbilm_avl] >= 4,,,,,,
md_eqt_pt_tbilm_man_5,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of transcutaneous bilirubinometer 5?,,,,,,,[md_eqt_pt_tbilm_avl] >= 5,,,,,,
md_eqt_pt_tbilm_mod_5,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of transcutaneous bilirubinometer 5?,,,,,,,[md_eqt_pt_tbilm_avl] >= 5,,,,,,
md_eqt_pt_tbilm_man_6,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of transcutaneous bilirubinometer 6?,,,,,,,[md_eqt_pt_tbilm_avl] >= 6,,,,,,
md_eqt_pt_tbilm_mod_6,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of transcutaneous bilirubinometer 6?,,,,,,,[md_eqt_pt_tbilm_avl] >= 6,,,,,,
md_eqt_pt_tbilm_man_7,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of transcutaneous bilirubinometer 7?,,,,,,,[md_eqt_pt_tbilm_avl] >= 7,,,,,,
md_eqt_pt_tbilm_mod_7,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of transcutaneous bilirubinometer 7?,,,,,,,[md_eqt_pt_tbilm_avl] >= 7,,,,,,
md_eqt_pt_tbilm_man_8,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of transcutaneous bilirubinometer 8?,,,,,,,[md_eqt_pt_tbilm_avl] >= 8,,,,,,
md_eqt_pt_tbilm_mod_8,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of transcutaneous bilirubinometer 8?,,,,,,,[md_eqt_pt_tbilm_avl] >= 8,,,,,,
md_eqt_pt_tbilm_man_9,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of transcutaneous bilirubinometer 9?,,,,,,,[md_eqt_pt_tbilm_avl] >= 9,,,,,,
md_eqt_pt_tbilm_mod_9,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of transcutaneous bilirubinometer 9?,,,,,,,[md_eqt_pt_tbilm_avl] >= 9,,,,,,
md_eqt_pt_tbilm_man_10,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of transcutaneous bilirubinometer 10?,,,,,,,[md_eqt_pt_tbilm_avl] >= 10,,,,,,
md_eqt_pt_tbilm_mod_10,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of transcutaneous bilirubinometer 10?,,,,,,,[md_eqt_pt_tbilm_avl] >= 10,,,,,,
md_eqt_cp_hed,hfa_neonatal_equipment_and_supplies_clinical_compe,,descriptive,"<div style=""background-color:#82cdbf;padding:10px"">CPAP Equipment and Supplies</div>",,,,,,,,,,,,,
md_eqt_cp_cp,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,CPAP driver system (standard or bubble CPAP) with accessories*,"1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_cp,,
md_eqt_cp_hat,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,CPAP hats,"1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_cp,,
md_eqt_cp_can,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,CPAP nasal cannula,"1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_cp,,
md_eqt_cp_cpg_000,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,CPAP prongs (size 000),"1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_cp,,
md_eqt_cp_cpg_0,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,CPAP prongs (size 0),"1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_cp,,
md_eqt_cp_cpg_1,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,CPAP prongs (size 1),"1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_cp,,
md_eqt_cp_cpg_2,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,CPAP prongs (size 2),"1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_cp,,
md_eqt_cp_tub,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,CPAP tubing,"1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_cp,,
md_eqt_cp_h2o,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,Distilled water,"1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_cp,,
md_eqt_cp_ket,hfa_neonatal_equipment_and_supplies_clinical_compe,,radio,Kettle for boiling water,"1, Available today and no stockout in last 4 weeks | 3, Available today, but stockout in last 4 weeks | 0, Not available today",,,,,,,y,,,md_eqt_cp,,
md_eqt_cp_hmicp,hfa_neonatal_equipment_and_supplies_clinical_compe,,checkbox,Do you use improvised or homemade CPAP?,"0, None | 1, Improvised CPAP | 2, Homemade CPAP",,,,,,,y,,,,, @NONEOFTHEABOVE=0
md_eqt_cp_cp_hed,hfa_neonatal_equipment_and_supplies_clinical_compe,,descriptive,"<div style=""background-color:#fbd0c1;padding:10px"">CPAP Driver System with Accessories</div>",,,,,,,[md_eqt_cp_cp] >= 1,,,,,,
md_eqt_cp_cp_avl,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,How many CPAP driver systems are there?,,,integer,-1,50,,[md_eqt_cp_cp] >= 1,,,,,,
md_eqt_cp_cp_fc,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,How many CPAP driver systems are functional?,,,integer,-1,50,,[md_eqt_cp_cp_avl] >= 1,,,,,,
md_eqt_cp_cp_man_1,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of CPAP driver system 1?,,,,,,,[md_eqt_cp_cp_avl] >= 1,,,,,,
md_eqt_cp_cp_mod_1,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of CPAP driver system 1?,,,,,,,[md_eqt_cp_cp_avl] >= 1,,,,,,
md_eqt_cp_cp_man_2,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of CPAP driver system 2?,,,,,,,[md_eqt_cp_cp_avl] >= 2,,,,,,
md_eqt_cp_cp_mod_2,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of CPAP driver system 2?,,,,,,,[md_eqt_cp_cp_avl] >= 2,,,,,,
md_eqt_cp_cp_man_3,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of CPAP driver system 3?,,,,,,,[md_eqt_cp_cp_avl] >= 3,,,,,,
md_eqt_cp_cp_mod_3,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of CPAP driver system 3?,,,,,,,[md_eqt_cp_cp_avl] >= 3,,,,,,
md_eqt_cp_cp_man_4,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of CPAP driver system 4?,,,,,,,[md_eqt_cp_cp_avl] >= 4,,,,,,
md_eqt_cp_cp_mod_4,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of CPAP driver system 4?,,,,,,,[md_eqt_cp_cp_avl] >= 4,,,,,,
md_eqt_cp_cp_man_5,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of CPAP driver system 5?,,,,,,,[md_eqt_cp_cp_avl] >= 5,,,,,,
md_eqt_cp_cp_mod_5,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of CPAP driver system 5?,,,,,,,[md_eqt_cp_cp_avl] >= 5,,,,,,
md_eqt_cp_cp_man_6,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of CPAP driver system 6?,,,,,,,[md_eqt_cp_cp_avl] >= 6,,,,,,
md_eqt_cp_cp_mod_6,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of CPAP driver system 6?,,,,,,,[md_eqt_cp_cp_avl] >= 6,,,,,,
md_eqt_cp_cp_man_7,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of CPAP driver system 7?,,,,,,,[md_eqt_cp_cp_avl] >= 7,,,,,,
md_eqt_cp_cp_mod_7,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of CPAP driver system 7?,,,,,,,[md_eqt_cp_cp_avl] >= 7,,,,,,
md_eqt_cp_cp_man_8,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of CPAP driver system 8?,,,,,,,[md_eqt_cp_cp_avl] >= 8,,,,,,
md_eqt_cp_cp_mod_8,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of CPAP driver system 8?,,,,,,,[md_eqt_cp_cp_avl] >= 8,,,,,,
md_eqt_cp_cp_man_9,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,Who is the manufacturer of CPAP driver system 9?,,,,,,,[md_eqt_cp_cp_avl] >= 9,,,,,,
md_eqt_cp_cp_mod_9,hfa_neonatal_equipment_and_supplies_clinical_compe,,text,What is the model name of CPAP driver system 9?,,,,,,,[md_eqt_cp_cp_avl] >= 9,,,,,,
