Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
obs_id_recid,hfa_identification,,text,Record ID,,,,,,,,,,,,,
obs_id_hed_1,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
obs_id_ban_1,hfa_identification,,descriptive,,,,,,,,,,,,,,
obs_id_hed_2,hfa_identification,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Hand Hygiene Observation Form</div>",,,,,,,,,,,,,
obs_id_ins_1,hfa_identification,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> This module is for observation only. Please observe one staff member at a time for no more than 20 minutes or up to 10 hand hygiene opportunities. 
</i></p>",,,,,,,,,,,,,
obs_id_hed_3,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
obs_id_ctry,hfa_identification,,radio,Country:,"1, Malawi | 2, Kenya | 3, Tanzania | 4, Nigeria",,,,,,,y,,,,,
obs_id_facid_mw,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[obs_id_ctry] = '1',y,,,,,
obs_id_facid_ke,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[obs_id_ctry] = '2',y,,,,,
obs_id_facid_tz,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[obs_id_ctry] = '3',y,,,,,
obs_id_facid_nga,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[obs_id_ctry] = '4',y,,,,,
obs_id_hed_4,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
obs_id_iw_nam,hfa_identification,,text,Observer First and Last Name:,,,,,,y,,y,,,,,
obs_id_dtfrm,hfa_identification,,text,Data Collection Date:,,,date_ymd,,,,,y,,,,,
obs_id_hed_7,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
obs_id_com,hfa_identification,,notes,Comments:,,,,,,,,,,,,,
obs_hed_1,hfa_observation,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
obs_ban_1,hfa_observation,,descriptive,,,,,,,,,,,,,,
obs_hed_2,hfa_observation,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Hand Hygiene Observation Form</div>",,,,,,,,,,,,,
obs_ins_1,hfa_observation,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> Complete a new observation form for each staff member that is observed. As soon as you detect an indication for hand hygiene, select all corresponding indications that apply and the related hand hygiene actions observed or missed.</i></p>",,,,,,,,,,,,,
obs_hed_3,hfa_observation,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
obs_cdr,hfa_observation,,radio,Observation staff cadre:,"3, General Nurse | 4, Pediatric Nurse | 2, Neonatal Nurse | 9, Nurse-in-charge | 1, General Medical Doctor | 7, Pediatrician | 8, Neonatologist | 5, Clinical Officer | 10, Nursing Student | 11, Clinical Officer Student | 12, Medical Student | 99, Other <i>(specify below)</i>",Select cadre of staff being observed.,,,,,,y,,,,,
obs_cdr_oth,hfa_observation,,text,Other staff cadre:,,,,,,,[obs_cdr] = '99',,,,,,
obs_sttm,hfa_observation,,text,Observation start time: ,,Select <b>now</b>,time,,,,,y,,,,,
obs_opp_1,hfa_observation,,descriptive,"<div style=""background-color:#fbd0c1; padding:5px"">Opportunity #1</div>",,,,,,,,,,,,,
obs_hh_1,hfa_observation,,checkbox,Indication for hand hygiene: <br> <i>(select all that apply)</i>,"1, Before touching a patient | 2, Before clean/aseptic procedure | 3, After body fluid exposure risk | 4, After touching a patient | 5, After touching patient surroundings",,,,,,,y,,,,,
obs_ac_1,hfa_observation,,radio,Hand hygiene action:,"1, Hand rubbing with an alcohol-based formula | 2, Handwashing with soap and water | 0, No hand hygiene action performed",,,,,,,y,,,,,
obs_why_1,hfa_observation,,radio,"If no hand hygiene performed, please specify:","0, None | 1, Staff wearing gloves | 2, Shared patient area","""Staff wearing gloves"" may only be recorded when the hand hygiene action is missed while the health-care worker is wearing gloves. ""Shared patient area"" may only be recorded when the hand hygiene action is missed while the babies are in a shared space (e.g. cot, radiant warmer).",,,,,[obs_ac_1] = '0',y,,,,,
obs_oth_1,hfa_observation,,yesno,Add another opportunity?,,,,,,,,y,,,,,
obs_opp_2,hfa_observation,,descriptive,"<div style=""background-color:#fbd0c1; padding:5px"">Opportunity #2</div>",,,,,,,[obs_oth_1] = '1',,,,,,
obs_hh_2,hfa_observation,,checkbox,Indication for hand hygiene: <br> <i>(select all that apply)</i>,"1, Before touching a patient | 2, Before clean/aseptic procedure | 3, After body fluid exposure risk | 4, After touching a patient | 5, After touching patient surroundings",,,,,,[obs_oth_1] = '1',,,,,,
obs_ac_2,hfa_observation,,radio,Hand hygiene action:,"1, Hand rubbing with an alcohol-based formula | 2, Handwashing with soap and water | 0, No hand hygiene action performed",,,,,,[obs_oth_1] = '1',,,,,,
obs_why_2,hfa_observation,,radio,"If no hand hygiene performed, please specify:","0, None | 1, Staff wearing gloves | 2, Shared patient area","""Staff wearing gloves"" may only be recorded when the hand hygiene action is missed while the health-care worker is wearing gloves. ""Shared patient area"" may only be recorded when the hand hygiene action is missed while the babies are in a shared space (e.g. cot, radiant warmer).",,,,,[obs_ac_2] = '0',,,,,,
obs_oth_2,hfa_observation,,yesno,Add another opportunity?,,,,,,,[obs_oth_1] = '1',,,,,,
obs_opp_3,hfa_observation,,descriptive,"<div style=""background-color:#fbd0c1; padding:5px"">Opportunity #3</div>",,,,,,,[obs_oth_2] = '1',,,,,,
obs_hh_3,hfa_observation,,checkbox,Indication for hand hygiene: <br> <i>(select all that apply)</i>,"1, Before touching a patient | 2, Before clean/aseptic procedure | 3, After body fluid exposure risk | 4, After touching a patient | 5, After touching patient surroundings",,,,,,[obs_oth_2] = '1',,,,,,
obs_ac_3,hfa_observation,,radio,Hand hygiene action:,"1, Hand rubbing with an alcohol-based formula | 2, Handwashing with soap and water | 0, No hand hygiene action performed",,,,,,[obs_oth_2] = '1',,,,,,
