Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
inf_id_recid,hfa_identification,,text,Record ID,,,,,,,,,,,,,
inf_id_hed_1,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
inf_id_ban_1,hfa_identification,,descriptive,,,,,,,,,,,,,,
inf_id_hed_2,hfa_identification,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Facility Identification</div>",,,,,,,,,,,,,
inf_id_ins_1,hfa_identification,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> 

This module consists of six sections:<br>

1. Facility identification (to be filled out before visit)<br>
2. Facility infrastructure (direct questions to management)<br>
3. Physical areas at the facility (direct questions to management)<br>
4. Autoclave and sterilization (direct questions to person in charge of autoclaving and sterilization)<br>
5. Communication and information systems infrastructure (direct questions to communications officer)<br>
6. Transportation (direct questions to transportation officer)<br>
</p>",,,,,,,,,,,,,
inf_id_hed_3,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
inf_id_ctry,hfa_identification,,radio,Country:,"1, Malawi | 2, Kenya | 3, Tanzania | 4, Nigeria",,,,,,,y,,,,,
inf_id_facid_mw,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[inf_id_ctry] = '1',y,,,,,
inf_id_facid_ke,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[inf_id_ctry] = '2',y,,,,,
inf_id_facid_tz,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[inf_id_ctry] = '3',y,,,,,
inf_id_facid_nga,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[inf_id_ctry] = '4',y,,,,,
inf_id_dtfrm,hfa_identification,,text,Data Collection Date:,,,date_ymd,,,,,y,,,,,
inf_id_hed_4,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collectors</div>",,,,,,,,,,,,,
inf_id_iw_num,hfa_identification,,radio,How many data collectors collected this data?,"1, 1 data collector | 2, 2 data collectors",,,,,,,y,,,,,
inf_id_hed_5,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collector #1</div>",,,,,,,[inf_id_iw_num] = '1' or [inf_id_iw_num] = '2',,,,,,
inf_id_iw_nam_1,hfa_identification,,text,Data Collector First and Last Name:,,,,,,y,[inf_id_iw_num] = '1' or [inf_id_iw_num] = '2',y,,,,,
inf_id_hed_6,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collector #2</div>",,,,,,,[inf_id_iw_num] = '2',,,,,,
inf_id_iw_nam_2,hfa_identification,,text,Data Collector First and Last Name:,,,,,,y,[inf_id_iw_num] = '2',,,,,,
inf_id_hed_7,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
inf_id_com,hfa_identification,,notes,Comments:,,,,,,,,,,,,,
inf_facid_hed_1,hfa_facility_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
inf_facid_ban_1,hfa_facility_identification,,descriptive,,,,,,,,,,,,,,
inf_facid_ins_1,hfa_facility_identification,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Facility Identification</div>",,,,,,,,,,,,,
inf_facid_hed_2,hfa_facility_identification,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> Direct these questions to the facility management. Prefill items before arrival when possible.</p>",,,,,,,,,,,,,
inf_facid_hed_3,hfa_facility_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
inf_facid_ar,hfa_facility_identification,,radio,Urban/rural designation: ,"1, Urban | 2, Semi-Urban | 3, Rural",,,,,,,y,,,,,
inf_facid_typ,hfa_facility_identification,,radio,Type of facility: ,"1, National Hospital | 2, Regional Hospital | 3, District Hospital | 4, Health Center | 5, Specialized Maternity Clinic | 6, Dispensary | 7, Other <i>(specify below)</i>",,,,,,[inf_id_ctry] = '1' or [inf_id_ctry] = '2',,,,,,
inf_facid_typ_tz,hfa_facility_identification,,radio,Type of facility: ,"1, National Hospital | 4, Regional Referral Hospital | 2, Zonal Hospital | 3, Primary Hospital | 7, Other <i>(specify below)</i>",,,,,,[inf_id_ctry] = '3',,,,,,
inf_facid_typ_nga,hfa_facility_identification,,radio,Type of facility: ,"1, Tertiary Hospital | 2, Secondary Hospital | 3, Primary Hospital | 7, Other <i>(specify below)</i>",,,,,,[inf_id_ctry] = '4',,,,,,
inf_facid_othtyp,hfa_facility_identification,,text,Specify other type of facility: ,,,,,,,[inf_facid_typ] = '7' or [inf_facid_typ_nga] = '7' or [inf_facid_typ_tz] = '7',,,,,,
inf_facid_agnc,hfa_facility_identification,,radio,Type of operating agency: ,"1, Government | 2, Private (for profit) | 3, Nonprofit Organization | 4, Religious Mission | 5, Military or police | 6, Other <i>(specify below)</i>",,,,,,,y,,,,,
inf_facid_othagnc,hfa_facility_identification,,text,Specify other type of operating agency: ,,,,,,,[inf_facid_agnc] = '6',,,,,,
inf_facid_ctch,hfa_facility_identification,,radio,Does this facility have a specified catchment area?,"1, Yes | 0, No | 9, Unknown",A catchment area is a population that the facility serves.,,,,,,y,,,,,
inf_facid_ctch_num,hfa_facility_identification,,text,How many people are supposed to be in the catchment area for this facility?,,"If unknown, enter <b>-1</b>.",integer,-1,,,[inf_facid_ctch] = '1',y,,,,,
inf_facid_hard,hfa_facility_identification,,radio,Is this area a designated hardship area?,"1, Yes | 0, No | 9, Unknown","A hardship area must be an official government designation, usually used for regions experiencing insecurity or hard to reach areas.",,,,,,y,,,,,
inf_facid_hed_4,hfa_facility_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
inf_facid_com,hfa_facility_identification,,notes,Comments:,,,,,,,,,,,,,
inf_fac_hed_1,hfa_facility_infrastructure,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
inf_fac_ban_1,hfa_facility_infrastructure,,descriptive,,,,,,,,,,,,,,
inf_fac_hed_2,hfa_facility_infrastructure,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Overall Facility Infrastructure</div>",,,,,,,,,,,,,
inf_fac_ins_1,hfa_facility_infrastructure,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> Please have all participants fill in their names and positions below, before completing the following forms in Section 2. Facility Infrastructure. Direct these questions to the officer in charge.<br><br> For some questions, you will need to ask and observe specific items/spaces at the facility. If a free text variable is unknown and an answer is required, write ""-1"" for numeric fields and ""unknown"" for text fields. If a multiple-choice variable is unknown, select ""unknown"". 

<b>Prompt:</b> ""I'd like to ask you a few questions about the facility's overall capacity and infrastructure."" </p>",,,,,,,,,,,,,
inf_fac_hed_3,hfa_facility_infrastructure,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
inf_fac_rp_num,hfa_facility_infrastructure,,radio,Number of Respondents Interviewed:,"1, 1 respondent|2, 2 respondents|3, 3 respondents|4, 4 respondents|5, 5 respondents",,,,,,,y,,,,,
inf_fac_rp_hed_1,hfa_facility_infrastructure,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #1</div>",,,,,,,[inf_fac_rp_num] >= 1,,,,,,
inf_fac_rp_nam_1,hfa_facility_infrastructure,,text,Respondent Name (First and Last):,,,,,,y,[inf_fac_rp_num] >= 1,y,,,,,
inf_fac_rp_pos_1,hfa_facility_infrastructure,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[inf_fac_rp_num] >= 1,y,,,,,
inf_fac_rp_othpos_1,hfa_facility_infrastructure,,text,"If other position, please specify: ",,,,,,,[inf_fac_rp_pos_1] = '99',,,,,,
inf_fac_rp_ph_1,hfa_facility_infrastructure,,text,Respondent Phone Number:,,,,,,y,[inf_fac_rp_num] >= 1,,,,,,
inf_fac_rp_hed_2,hfa_facility_infrastructure,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #2</div>",,,,,,,[inf_fac_rp_num] >= 2,,,,,,
inf_fac_rp_nam_2,hfa_facility_infrastructure,,text,Respondent Name (First and Last):,,,,,,y,[inf_fac_rp_num] >= 2,,,,,,
inf_fac_rp_pos_2,hfa_facility_infrastructure,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[inf_fac_rp_num] >= 2,,,,,,
inf_fac_rp_othpos_2,hfa_facility_infrastructure,,text,"If other position, please specify: ",,,,,,,[inf_fac_rp_pos_2] = '99',,,,,,
inf_fac_rp_ph_2,hfa_facility_infrastructure,,text,Respondent Phone Number:,,,,,,y,[inf_fac_rp_num] >= 2,,,,,,
inf_fac_rp_hed_3,hfa_facility_infrastructure,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #3</div>",,,,,,,[inf_fac_rp_num] >= 3,,,,,,
inf_fac_rp_nam_3,hfa_facility_infrastructure,,text,Respondent Name (First and Last):,,,,,,y,[inf_fac_rp_num] >= 3,,,,,,
inf_fac_rp_pos_3,hfa_facility_infrastructure,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[inf_fac_rp_num] >= 3,,,,,,
inf_fac_rp_othpos_3,hfa_facility_infrastructure,,text,"If other position, please specify: ",,,,,,,[inf_fac_rp_pos_3] = '99',,,,,,
inf_fac_rp_ph_3,hfa_facility_infrastructure,,text,Respondent Phone Number:,,,,,,y,[inf_fac_rp_num] >= 3,,,,,,
inf_fac_rp_hed_4,hfa_facility_infrastructure,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #4</div>",,,,,,,[inf_fac_rp_num] >= 4,,,,,,
inf_fac_rp_nam_4,hfa_facility_infrastructure,,text,Respondent Name (First and Last):,,,,,,y,[inf_fac_rp_num] >= 4,,,,,,
inf_fac_rp_pos_4,hfa_facility_infrastructure,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[inf_fac_rp_num] >= 4,,,,,,
inf_fac_rp_othpos_4,hfa_facility_infrastructure,,text,"If other position, please specify: ",,,,,,,[inf_fac_rp_pos_4] = '99',,,,,,
inf_fac_rp_ph_4,hfa_facility_infrastructure,,text,Respondent Phone Number:,,,,,,y,[inf_fac_rp_num] >= 4,,,,,,
inf_fac_rp_hed_5,hfa_facility_infrastructure,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #5</div>",,,,,,,[inf_fac_rp_num] >= 5,,,,,,
inf_fac_rp_nam_5,hfa_facility_infrastructure,,text,Respondent Name (First and Last):,,,,,,y,[inf_fac_rp_num] >= 5,,,,,,
inf_fac_rp_pos_5,hfa_facility_infrastructure,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[inf_fac_rp_num] >= 5,,,,,,
inf_fac_rp_othpos_5,hfa_facility_infrastructure,,text,"If other position, please specify: ",,,,,,,[inf_fac_rp_pos_5] = '99',,,,,,
inf_fac_rp_ph_5,hfa_facility_infrastructure,,text,Respondent Phone Number:,,,,,,y,[inf_fac_rp_num] >= 5,,,,,,
inf_fac_num_hed,hfa_facility_infrastructure,,descriptive,"<div style=""background-color:#82cdbf;padding:5px"">Patient Numbers</div>",,,,,,,,,,,,,
inf_fac_num_del,hfa_facility_infrastructure,,text,"How many deliveries take place at the facility annually? 
",,Use data from the previous calendar year.,integer,-1,50000,,,y,,,,,
inf_fac_num_nuadm,hfa_facility_infrastructure,,text,How many patients are admitted to the neonatal unit annually?,,Use data from the previous calendar year.,integer,-1,10000,,,y,,,,,
inf_fac_num_ref,hfa_facility_infrastructure,,text,How many neonates are referred <i>into</i> this facility annually? ,,Use data from the previous calendar year.,integer,-1,5000,,,y,,,,,
inf_fac_num_ref_out,hfa_facility_infrastructure,,text,How many neonates are referred <i>out</i> of  this facility annually? ,,Use data from the previous calendar year.,integer,-1,5000,,,y,,,,,
inf_fac_bdnum_hed,hfa_facility_infrastructure,,descriptive,"<div style=""background-color:#82cdbf;padding:5px"">Beds</div>",,,,,,,,,,,,,
inf_fac_bdnum_fac,hfa_facility_infrastructure,,text,How many beds are available for patients in all departments at this facility?,,,integer,-1,4000,,,y,,,,,
inf_fac_bdnum_ld,hfa_facility_infrastructure,,text,How many beds are available for maternity patients on the labor ward?,,,integer,-1,250,,,y,,,,,
inf_fac_bdnum_pn_m,hfa_facility_infrastructure,,text,How many beds on the postnatal unit are there for maternity patients?,,,integer,-1,250,,,y,,,,,
inf_fac_bdnum_pn_by,hfa_facility_infrastructure,,text,How many beds on the postnatal unit are there for newborns?,,,integer,-1,250,,,y,,,,,
inf_fac_bdnum_pn,hfa_facility_infrastructure,,text,How many beds on the postnatal unit are joint maternity and newborn beds?,This should include any beds where babies are sharing a bed with their mother.,,integer,-1,250,,,y,,,,,
inf_fac_bdnum_nu,hfa_facility_infrastructure,,text,How many beds are there on the neonatal unit? ,,,integer,-1,200,,,y,,,,,
inf_fac_bdnum_ped,hfa_facility_infrastructure,,text,How many beds on the pediatric ward are dedicated exclusively to neonatal patients?,,,integer,-1,50,,,y,,,,,
inf_fac_pw_hed,hfa_facility_infrastructure,,descriptive,"<div style=""background-color:#82cdbf;padding:5px"">Electric Power</div>",,,,,,,,,,,,,
inf_fac_pw_pl,hfa_facility_infrastructure,,radio,Does the facility have an energy management plan?,"1, Yes | 0, No | 99, Yes, but not observed",An energy management plan outlines how to reduce energy use and ensure adequate energy supply for all operations.,,,,,,y,,,,,
inf_fac_pw_grd,hfa_facility_infrastructure,,yesno,Is this facility connected to the central electricity grid?,,Select yes even if connection to electricity grid is irregular.,,,,,,y,,,,,
inf_fac_pw_out,hfa_facility_infrastructure,,yesno,"Thinking back over the last 7 days, has the power from the grid or a power back-up been interrupted for more than half an hour at a time at this facility?",,,,,,,[inf_fac_pw_grd] = '1',y,,,,,
inf_fac_pw_gen_hed,hfa_facility_infrastructure,,descriptive,"<div style=""background-color:#82cdbf;padding:5px"">Fuel-operated Generator</div>",,,,,,,,,,,,,
inf_fac_pw_gen,hfa_facility_infrastructure,,radio,Does this facility have a fuel-operated generator?,"1, Yes | 0, No | 99, Yes, but not observed",,,,,,,y,,,,,
inf_fac_pw_gen_num,hfa_facility_infrastructure,,text,How many fuel-operated generators does the facility have?,,,integer,-1,20,,[inf_fac_pw_gen] = '1' or [inf_fac_pw_gen] = '99',,,,,,
inf_fac_pw_gen_fc_mult,hfa_facility_infrastructure,,radio,Are the fuel-operated generators functional today?,"1, All | 2, Some | 0, None","If there is one fuel-operated generator, select ""All"" if functional today and ""None"" if not functional today.",,,,,[inf_fac_pw_gen_num] >= 1 or [inf_fac_pw_gen_num] = '-1',,,,,,
inf_fac_pw_gen_fuel,hfa_facility_infrastructure,,yesno,Do you have enough fuel to run the generator when needed?,,,,,,,[inf_fac_pw_gen] = '1' or [inf_fac_pw_gen] = '99',,,,,,
inf_fac_pw_gen_cont,hfa_facility_infrastructure,,radio,Is there a maintenance contract in place for the fuel-operated generator?,"1, Yes | 0, No | 9, Unknown",This should be a formal maintenance contract with the supplier or distributor. ,,,,,[inf_fac_pw_gen] = '1' or [inf_fac_pw_gen] = '99',,,,,,
inf_fac_pw_bat_hed,hfa_facility_infrastructure,,descriptive,"<div style=""background-color:#82cdbf;padding:5px"">Battery Inverter</div>",,,,,,,,,,,,,
inf_fac_pw_bat,hfa_facility_infrastructure,,radio,Does this facility have a battery inverter?,"1, Yes | 0, No | 99, Yes, but not observed",,,,,,,y,,,,,
inf_fac_pw_bat_num,hfa_facility_infrastructure,,text,How many battery inverters does the facility have?,,,integer,-1,20,,[inf_fac_pw_bat] = '1' or [inf_fac_pw_bat] = '99',,,,,,
inf_fac_pw_bat_fc_mult,hfa_facility_infrastructure,,radio,Are the battery inverters functional today?,"1, All | 2, Some | 0, None","If there is one battery inverter, select ""All"" if functional today and ""None"" if not functional today.",,,,,[inf_fac_pw_bat_num] >= 1 or [inf_fac_pw_bat_num] = '-1',,,,,,
inf_fac_pw_bat_cont,hfa_facility_infrastructure,,radio,Is there a maintenance contract in place for the battery inverter?,"1, Yes | 0, No | 9, Unknown",This should be a formal maintenance contract with the supplier or distributor. ,,,,,[inf_fac_pw_bat] = '1' or [inf_fac_pw_bat] = '99',,,,,,
inf_fac_pw_sol_hed,hfa_facility_infrastructure,,descriptive,"<div style=""background-color:#82cdbf;padding:5px"">Solar Power</div>",,,,,,,,,,,,,
inf_fac_pw_sol,hfa_facility_infrastructure,,radio,Does this facility have solar power?,"1, Yes | 0, No | 99, Yes, but not observed",,,,,,,y,,,,,
inf_fac_pw_sol_num,hfa_facility_infrastructure,,text,How many solar power units does the facility have?,,,integer,-1,20,,[inf_fac_pw_sol] = '1' or [inf_fac_pw_sol] = '99',,,,,,
inf_fac_pw_sol_fc_mult,hfa_facility_infrastructure,,radio,Are the solar power units functional today?,"1, All | 2, Some | 0, None","If there is one solar power unit, select ""All"" if functional today and ""None"" if not functional today.",,,,,[inf_fac_pw_sol_num] >= 1 or [inf_fac_pw_sol_num] = '-1',,,,,,
inf_fac_pw_sol_cont,hfa_facility_infrastructure,,radio,Is there a maintenance contract in place for the solar power?,"1, Yes | 0, No | 9, Unknown",This should be a formal maintenance contract with the supplier or distributor. ,,,,,[inf_fac_pw_sol] = '1' or [inf_fac_pw_sol] = '99',,,,,,
inf_fac_h2o_hed,hfa_facility_infrastructure,,descriptive,"<div style=""background-color:#82cdbf;padding:5px"">Water</div>",,,,,,,,,,,,,
inf_fac_h2o_sor,hfa_facility_infrastructure,,radio,What is the main source of water?,"1, Piped water from municipality | 2, Borehole (Hand pump) | 3, Borehole (Solar pump) | 12, Borehole (Electric pump) | 4, Well (Hand pump) | 8, Well (Electric pump) | 10, Well (Solar pump) | 5, River | 7, Tank | 11, Rainwater |  6, Other <i>(specify below)</i>",,,,,,,y,,,,,
inf_fac_h2o_othsor,hfa_facility_infrastructure,,text,Specify other source of water:,,,,,,,[inf_fac_h2o_sor] = '6',,,,,,
inf_fac_h2o_sor_loc,hfa_facility_infrastructure,,radio,"Is the main water source from this source onsite, within 500 meters of the facility, or beyond 500 meters of the facility?","1, Onsite | 2, Within 500 m of facility | 3, Beyond 500 m of facility","If <b>Piped water</b> selected as main source of water, select Onsite</b>.",,,,,,y,,,,,
inf_fac_h2o_sho,hfa_facility_infrastructure,,yesno,Is there a time of the year when the facility routinely has a shortage or lack of water?,,Routinely is defined as occurring more frequently than during an extenuating circumstance.,,,,,,y,,,,,
inf_fac_bh2o_avl,hfa_facility_infrastructure,,yesno,Is there a reliable backup water supply available?,,Reliable is defined as providing the facility with water supply to meet all its needs while the main water source is not functioning.,,,,,,y,,,,,
inf_fac_bh2o_sor,hfa_facility_infrastructure,,checkbox,What are the sources of backup water?,"1, Piped water from municipality | 2, Borehole (Hand pump) | 3, Borehole (Solar pump) | 12, Borehole (Electric pump) | 4, Well (Hand pump) | 8, Well (Electric pump) | 10, Well (Solar pump) | 5, River | 6, Tank | 11, Rainwater | 7, Other <i>(specify below)</i>",Select all that apply.,,,,,,y,,,,,
inf_fac_bh2o_othsor,hfa_facility_infrastructure,,text,What is the other source of backup water?,,,,,,,[inf_fac_bh2o_sor(7)] = '1',,,,,,
inf_fac_o2_hed,hfa_facility_infrastructure,,descriptive,"<div style=""background-color:#82cdbf;padding:5px"">Oxygen Systems</div>",,,,,,,,,,,,,
inf_fac_o2_pipe,hfa_facility_infrastructure,,radio,Is there walled/piped oxygen in the facility?,"1, Yes | 0, No",,,,,,,y,,,,,
inf_fac_o2_tnk_avl,hfa_facility_infrastructure,,yesno,Is there a bulk liquid oxygen tank at this facility?,,,,,,,,y,,,,,
inf_fac_o2_tnk_fc,hfa_facility_infrastructure,,radio,Is the liquid oxygen tank currently functioning?,"1, Yes | 0, No",,,,,,[inf_fac_o2_tnk_avl] = '1',,,,,,
inf_fac_o2_plnt_avl,hfa_facility_infrastructure,,yesno,Is there an oxygen plant at this facility?,,,,,,,,y,,,,,
inf_fac_o2_plnt_fc,hfa_facility_infrastructure,,radio,Is the oxygen plant currently functioning?,"1, Yes | 0, No",,,,,,[inf_fac_o2_plnt_avl] = '1',,,,,,
inf_fac_by_hed,hfa_facility_infrastructure,,descriptive,"<div style=""background-color:#82cdbf;padding:5px"">Newborn Care</div>",,,,,,,,,,,,,
inf_fac_by_loc_nu,hfa_facility_infrastructure,,radio,Where are small and sick newborns cared for at this facility?,"6, Neonatal corner | 3, Special newborn care unit (separate neonatal unit) | 7, Neonatal intensive care unit","Select the highest level. A <b>neonatal corner</b> is a space within the labor and delivery ward, postnatal unit, or pediatric unit where small and sick newborns are cared for. A <b>special newborn care unit</b> is a dedicated unit where small and sick newborns are cared for, but does not offer all of the high-level services of a NICU. Refer to national guidelines for designation. A <b>NICU</b> is a unit at the tertiary level equipped to provide intensive care to neonates. Refer to national guidelines for designation.",,,,,,y,,,,,
inf_fac_by_loc_nc,hfa_facility_infrastructure,,checkbox,Where is the neonatal corner at this facility?,"1, Labour and delivery ward | 3, Post-natal unit | 2, Paediatric ward | 5, Other <i>(specify below)</i>",Read all response options out loud and select all that apply.,,,,,[inf_fac_by_loc_nu] = '6',,,,,,
inf_fac_by_loc_othnc,hfa_facility_infrastructure,,text,Please specify other location of neonatal corners at this facility:,,,,,,,[inf_fac_by_loc_nc(5)] = '1',,,,,,
inf_fac_by_loc,hfa_facility_infrastructure,,checkbox,Where else are small and sick newborns cared for at this facility?,"4, KMC unit | 1, Labour and delivery ward | 3, Post-natal unit | 2, Paediatric ward | 5, Other <i>(specify below)</i>",Newborns can be cared for in different wards. Read all response options out loud and select all that apply. Select all locations at this facility where we could find small and sick newborns <28 days.,,,,,,y,,,,,
inf_fac_by_othloc,hfa_facility_infrastructure,,text,Please specify other location where small and sick newborns are cared for:,,,,,,,[inf_fac_by_loc(5)] = '1',,,,,,
inf_fac_fire_hed,hfa_facility_infrastructure,,descriptive,"<div style=""background-color:#82cdbf;padding:5px"">Fire Safety</div>",,,,,,,,,,,,,
inf_fac_fire_drl,hfa_facility_infrastructure,,radio,Does the facility conduct fire drills at least once per year?,"1, Yes | 0, No | 9, Unknown",,,,,,,y,,,,,
inf_fac_strl_hed,hfa_facility_infrastructure,,descriptive,"<div style=""background-color:#82cdbf;padding:5px"">Sterile Supply Department</div>",,,,,,,,,,,,,
inf_fac_strl_ar_nw,hfa_facility_infrastructure,,yesno,Does the facility provide an onsite or offsite dedicated decontamination area or sterile supply department for medical devices and other equipment?,,,,,,,,y,,,,,
