Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
gv_tar_rp_pos_3,hfa_target_setting,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[gv_tar_rp_num] >= 3,,,,,,
gv_tar_rp_othpos_3,hfa_target_setting,,text,"If other position, please specify: ",,,,,,,[gv_tar_rp_pos_3] = '99',,,,,,
gv_tar_rp_ph_3,hfa_target_setting,,text,Respondent Phone Number:,,,,,,y,[gv_tar_rp_num] >= 3,,,,,,
gv_tar_rp_hed_4,hfa_target_setting,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #4</div>",,,,,,,[gv_tar_rp_num] >= 4,,,,,,
gv_tar_rp_nam_4,hfa_target_setting,,text,Respondent Name (First and Last):,,,,,,y,[gv_tar_rp_num] >= 4,,,,,,
gv_tar_rp_pos_4,hfa_target_setting,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[gv_tar_rp_num] >= 4,,,,,,
gv_tar_rp_othpos_4,hfa_target_setting,,text,"If other position, please specify: ",,,,,,,[gv_tar_rp_pos_4] = '99',,,,,,
gv_tar_rp_ph_4,hfa_target_setting,,text,Respondent Phone Number:,,,,,,y,[gv_tar_rp_num] >= 4,,,,,,
gv_tar_rp_hed_5,hfa_target_setting,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #5</div>",,,,,,,[gv_tar_rp_num] >= 5,,,,,,
gv_tar_rp_nam_5,hfa_target_setting,,text,Respondent Name (First and Last):,,,,,,y,[gv_tar_rp_num] >= 5,,,,,,
gv_tar_rp_pos_5,hfa_target_setting,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[gv_tar_rp_num] >= 5,,,,,,
gv_tar_rp_othpos_5,hfa_target_setting,,text,"If other position, please specify: ",,,,,,,[gv_tar_rp_pos_5] = '99',,,,,,
gv_tar_rp_ph_5,hfa_target_setting,,text,Respondent Phone Number:,,,,,,y,[gv_tar_rp_num] >= 5,,,,,,
gv_tar_num_hed,hfa_target_setting,,descriptive,"<div style=""background-color:#82cdbf;padding:5px""></div>",,,,,,,,,,,,,
gv_tar_avl,hfa_target_setting,,yesno,Do you set targets for this facility to achieve?,,A target is a specific quantitative goal which the facility aims to reach in the future (e.g. reduce in-hospital mortality to 10% by end of 2021).,,,,,,y,,,,,
gv_tar_avl_nu,hfa_target_setting,,yesno,Do you set targets for the neonatal unit?,,,,,,,[gv_tar_avl] = '1',,,,,,
gv_tar_nu,hfa_target_setting,,checkbox,"Which, if any, of these targets concern neonatal health or the neonatal unit?","0, None | 1, Health or mortality targets | 2, Clinical practice targets | 3, Input targets",Select all that apply.,,,,,[gv_tar_avl_nu] = '1',,,,,, @NONEOFTHEABOVE=0
gv_tar_fac_nu,hfa_target_setting,,yesno,Are facility targets displayed anywhere in the hospital?,,,,,,,[gv_tar_avl] = '1',,,,,,
gv_tar_fac,hfa_target_setting,,checkbox,Where are facility targets displayed in the hospital?,"0, Not displayed in hospital | 1, Hospital manager office or meeting room | 2, Neonatal unit |  99, Other <i>(specify below)</i>",Select all that apply.,,,,,[gv_tar_fac_nu] = '1',,,,,, @NONEOFTHEABOVE=0
gv_tar_othfac,hfa_target_setting,,text,Please specify other location where targets are displayed in the hospital:,,,,,,,[gv_tar_fac(99)] = '1',,,,,,
gv_tar_hed_4,hfa_target_setting,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
gv_tar_com,hfa_target_setting,,notes,Comments:,,,,,,,,,,,,,
gv_fin_hed_1,hfa_financing_reports,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
gv_fin_ban_1,hfa_financing_reports,,descriptive,,,,,,,,,,,,,,
gv_fin_hed_2,hfa_financing_reports,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Financing Reports</div>",,,,,,,,,,,,,
gv_fin_ins_1,hfa_financing_reports,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> Direct these questions to the hospital administrator. For some questions, you will need to observe specific items/spaces at the facility. If a free text variable is unknown and an answer is required, write ""-1"" for numeric fields and ""unknown"" for text fields. <br><br> <b>Prompt:</b> “I'd like to ask you a few questions on financing reports.”
</p>",,,,,,,,,,,,,
gv_fin_hed_3,hfa_financing_reports,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
gv_fin_sum,hfa_financing_reports,,yesno,Do you produce a report of the facility revenue and expenditure?,,,,,,,,y,,,,,
gv_fin_sum_frq,hfa_financing_reports,,radio,How often is the report produced?,"1, Monthly | 2, Quarterly | 3, Annually | 4, Irregularly | 99, Other <i>(specify below)</i>",,,,,,[gv_fin_sum] = '1',,,,,,
gv_fin_sum_othfrq,hfa_financing_reports,,text,Please specify other frequency:,,,,,,,[gv_fin_sum_frq] = '99',,,,,,
gv_fin_sum_dt,hfa_financing_reports,,text,When was the last report produced?,,"If a date is unknown, enter 1999/01/01. ",date_ymd,,,,[gv_fin_sum] = '1',,,,,,
