Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
fcc_id_recid,hfa_facility_identification,,text,Record ID,,,,,,,,,,,,,
fcc_id_hed_1,hfa_facility_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
fcc_id_ban_1,hfa_facility_identification,,descriptive,,,,,,,,,,,,,,
fcc_id_hed_2,hfa_facility_identification,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Facility Identification</div>",,,,,,,,,,,,,
fcc_id_ins_1,hfa_facility_identification,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> This module consists of four sections:<br><br>1.	Policies and Training (Direct towards nurse in charge)<br>
2.	Patient Satisfaction (Direct towards nurse in charge)<br>
3.	Family Involvement (Direct towards nurse in charge)<br>
4.	Infrastructure (Direct towards nurse in charge)</p>",,,,,,,,,,,,,
fcc_id_hed_3,hfa_facility_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
fcc_id_ctry,hfa_facility_identification,,radio,Country:,"1, Malawi | 2, Kenya | 3, Tanzania | 4, Nigeria",,,,,,,y,,,,,
fcc_id_facid_mw,hfa_facility_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[fcc_id_ctry] = '1',y,,,,,
fcc_id_facid_ke,hfa_facility_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[fcc_id_ctry] = '2',y,,,,,
fcc_id_facid_tz,hfa_facility_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[fcc_id_ctry] = '3',y,,,,,
fcc_id_facid_nga,hfa_facility_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[fcc_id_ctry] = '4',y,,,,,
fcc_id_dtfrm,hfa_facility_identification,,text,Data Collection Date:,,,date_ymd,,,,,y,,,,,
fcc_id_hed_4,hfa_facility_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collectors</div>",,,,,,,,,,,,,
fcc_id_iw_num,hfa_facility_identification,,radio,How many data collectors collected this data?,"1, 1 data collector | 2, 2 data collectors",,,,,,,y,,,,,
fcc_id_hed_5,hfa_facility_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collector #1</div>",,,,,,,[fcc_id_iw_num] = '1' or [fcc_id_iw_num] = '2',,,,,,
fcc_id_iw_nam_1,hfa_facility_identification,,text,Data Collector First and Last Name:,,,,,,y,[fcc_id_iw_num] = '1' or [fcc_id_iw_num] = '2',y,,,,,
fcc_id_hed_6,hfa_facility_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collector #2</div>",,,,,,,[fcc_id_iw_num] = '2',,,,,,
fcc_id_iw_nam_2,hfa_facility_identification,,text,Data Collector First and Last Name:,,,,,,y,[fcc_id_iw_num] = '2',,,,,,
fcc_id_hed_7,hfa_facility_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
fcc_id_com,hfa_facility_identification,,notes,Comments:,,,,,,,,,,,,,
fcc_gui_hed_1,hfa_policies_and_training,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
fcc_gui_ban_1,hfa_policies_and_training,,descriptive,,,,,,,,,,,,,,
fcc_gui_hed_2,hfa_policies_and_training,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Policies and Training</div>",,,,,,,,,,,,,
fcc_gui_ins_1,hfa_policies_and_training,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> Direct these questions to the nurse in charge. Please ask the nurse in charge if the following guidelines for respectful and family-centered care are available. If a guideline is available, continue to ask if it is easily accessible. All guidelines must be seen in order to select ""Yes"" to being available and to being easily accessible. In order to select ""Yes"" to easily accessible the nurse must know where the guideline is stored and be able to retrieve it quickly. Note that some of these guidelines might be found on the labor and delivery ward. If any guideline is part of a larger protocol, that counts as being available.<br><br><b>Prompt:</b> ""I'd like to ask you a few questions about the facility's policies and training for respectful and family centred care.""<br><br>
</p>",,,,,,,,,,,,,
fcc_gui_hed_3,hfa_policies_and_training,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
fcc_gui_rp_num,hfa_policies_and_training,,radio,Number of Respondents Interviewed:,"1, 1 respondent|2, 2 respondents|3, 3 respondents|4, 4 respondents|5, 5 respondents",,,,,,,y,,,,,
fcc_gui_rp_hed_1,hfa_policies_and_training,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #1</div>",,,,,,,[fcc_gui_rp_num] >= 1,,,,,,
fcc_gui_rp_nam_1,hfa_policies_and_training,,text,Respondent Name (First and Last):,,,,,,y,[fcc_gui_rp_num] >= 1,y,,,,,
fcc_gui_rp_pos_1,hfa_policies_and_training,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[fcc_gui_rp_num] >= 1,y,,,,,
fcc_gui_rp_othpos_1,hfa_policies_and_training,,text,"If other position, please specify: ",,,,,,,[fcc_gui_rp_pos_1] = '99',,,,,,
fcc_gui_rp_ph_1,hfa_policies_and_training,,text,Respondent Phone Number:,,,,,,y,[fcc_gui_rp_num] >= 1,,,,,,
fcc_gui_rp_hed_2,hfa_policies_and_training,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #2</div>",,,,,,,[fcc_gui_rp_num] >= 2,,,,,,
fcc_gui_rp_nam_2,hfa_policies_and_training,,text,Respondent Name (First and Last):,,,,,,y,[fcc_gui_rp_num] >= 2,,,,,,
fcc_gui_rp_pos_2,hfa_policies_and_training,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[fcc_gui_rp_num] >= 2,,,,,,
fcc_gui_rp_othpos_2,hfa_policies_and_training,,text,"If other position, please specify: ",,,,,,,[fcc_gui_rp_pos_2] = '99',,,,,,
fcc_gui_rp_ph_2,hfa_policies_and_training,,text,Respondent Phone Number:,,,,,,y,[fcc_gui_rp_num] >= 2,,,,,,
fcc_gui_rp_hed_3,hfa_policies_and_training,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #3</div>",,,,,,,[fcc_gui_rp_num] >= 3,,,,,,
fcc_gui_rp_nam_3,hfa_policies_and_training,,text,Respondent Name (First and Last):,,,,,,y,[fcc_gui_rp_num] >= 3,,,,,,
fcc_gui_rp_pos_3,hfa_policies_and_training,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[fcc_gui_rp_num] >= 3,,,,,,
fcc_gui_rp_othpos_3,hfa_policies_and_training,,text,"If other position, please specify: ",,,,,,,[fcc_gui_rp_pos_3] = '99',,,,,,
fcc_gui_rp_ph_3,hfa_policies_and_training,,text,Respondent Phone Number:,,,,,,y,[fcc_gui_rp_num] >= 3,,,,,,
fcc_gui_rp_hed_4,hfa_policies_and_training,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #4</div>",,,,,,,[fcc_gui_rp_num] >= 4,,,,,,
fcc_gui_rp_nam_4,hfa_policies_and_training,,text,Respondent Name (First and Last):,,,,,,y,[fcc_gui_rp_num] >= 4,,,,,,
fcc_gui_rp_pos_4,hfa_policies_and_training,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[fcc_gui_rp_num] >= 4,,,,,,
fcc_gui_rp_othpos_4,hfa_policies_and_training,,text,"If other position, please specify: ",,,,,,,[fcc_gui_rp_pos_4] = '99',,,,,,
fcc_gui_rp_ph_4,hfa_policies_and_training,,text,Respondent Phone Number:,,,,,,y,[fcc_gui_rp_num] >= 4,,,,,,
fcc_gui_rp_hed_5,hfa_policies_and_training,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #5</div>",,,,,,,[fcc_gui_rp_num] >= 5,,,,,,
fcc_gui_rp_nam_5,hfa_policies_and_training,,text,Respondent Name (First and Last):,,,,,,y,[fcc_gui_rp_num] >= 5,,,,,,
fcc_gui_rp_pos_5,hfa_policies_and_training,,radio,Respondent Position:,"6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 7, Nurse-in-charge | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[fcc_gui_rp_num] >= 5,,,,,,
fcc_gui_rp_othpos_5,hfa_policies_and_training,,text,"If other position, please specify: ",,,,,,,[fcc_gui_rp_pos_5] = '99',,,,,,
fcc_gui_rp_ph_5,hfa_policies_and_training,,text,Respondent Phone Number:,,,,,,y,[fcc_gui_rp_num] >= 5,,,,,,
fcc_gui_hed_4,hfa_policies_and_training,,descriptive,"<div style=""background-color:#82cdbf;padding:5px"">Respectful and/or family-centered care guidelines: Does the facility have...?</div>",,,,,,,,,,,,,
fcc_gui_int,hfa_policies_and_training,,radio,Unnecessary interventions guidelines,"1, Available and easily accessible | 2, Available, but not easily accessible| 0, Not available",,,,,,,y,,,fcc_gui,,
fcc_gui_mtrt,hfa_policies_and_training,,radio,Guidelines for management of newborns suspected of being maltreated,"1, Available and easily accessible | 2, Available, but not easily accessible| 0, Not available",,,,,,,y,,,fcc_gui,,
fcc_gui_pain,hfa_policies_and_training,,radio,Pain assessment and management guidelines,"1, Available and easily accessible | 2, Available, but not easily accessible| 0, Not available",,,,,,,y,,,fcc_gui,,
fcc_gui_24h,hfa_policies_and_training,,radio,Minimising separation of newborns from mothers/caretakers guidelines,"1, Available and easily accessible | 2, Available, but not easily accessible| 0, Not available","This could include 24 hour access for carers, no interruption during ward rounds, shift changes and care procedures.",,,,,,y,,,fcc_gui,,
fcc_gui_dis,hfa_policies_and_training,,radio,Discharge protocol ,"1, Available and easily accessible | 2, Available, but not easily accessible| 0, Not available","This could include a pre-discharge baby check, a comprehensive discharge management plan and arranging follow-up as required.",,,,,,y,,,fcc_gui,,
fcc_gui_fu,hfa_policies_and_training,,radio,Developmental follow-up protocol,"1, Available and easily accessible | 2, Available, but not easily accessible| 0, Not available",,,,,,,y,,,fcc_gui,,
fcc_gui_hed_5,hfa_policies_and_training,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
fcc_gui_de,hfa_policies_and_training,,checkbox,Are there any formal policies (e.g. special grieving area etc.) around supporting families of a child who dies?,"0, None | 1, Guidelines for staff supporting bereaved families | 2, Protected grieving area | 3, Counselling services | 4, Chaplaincy services | 5, Parent support groups | 6, Community support groups | 7, Written support information (e.g. phone number) for bereaved families  | 99, Other <i>(specify below)</i>",Select all that apply.,,,,,,y,LV,,,, @NONEOFTHEABOVE=0
fcc_gui_de_oth,hfa_policies_and_training,,text,Please specify other formal policies around supporting families of a child who dies:,,,,,,,[fcc_gui_de(99)] = '1',,,,,,
fcc_gui_trn,hfa_policies_and_training,,checkbox,Are there specific respectful and/or family-centered care trainings for staff?,"0, None | 1, Training in family-centred care | 2, Training in Kangaroo Mother Care | 3, Training in legal and medical ethical principles of autonomy, informed consent, confidentiality and privacy  | 4, Training and refresher sessions in end-of-life and bereavement care  | 5, Training and refresher sessions on screening, protecting and managing newborns with evidence of maltreatment, including neglect and violence | 99, Other <i>(specify below)</i>",Select all that apply.,,,,,,y,LV,,,, @NONEOFTHEABOVE=0
fcc_gui_trn_oth,hfa_policies_and_training,,text,Please specify other respectful and/or family-centered care trainings for staff:,,,,,,,[fcc_gui_trn(99)] = '1',,,,,,
fcc_gui_hed_6,hfa_policies_and_training,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
fcc_gui_com,hfa_policies_and_training,,notes,Comments:,,,,,,,,,,,,,
fcc_sat_hed_1,hfa_patient_satisfaction,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
fcc_sat_ban_1,hfa_patient_satisfaction,,descriptive,,,,,,,,,,,,,,
fcc_sat_hed_2,hfa_patient_satisfaction,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Patient Satisfaction</div>",,,,,,,,,,,,,
fcc_sat_ins_1,hfa_patient_satisfaction,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> Direct these questions to the nurse in charge.
</p>",,,,,,,,,,,,,
fcc_sat_hed_3,hfa_patient_satisfaction,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
fcc_sat_typ,hfa_patient_satisfaction,,checkbox,"What mechanisms, if any, exist to voice grievances or provide feedback to the health facility?","0, None | 1, Anonymous survey | 2, Suggestion box | 3, Hotline | 4, Ombudsman | 5, Exit survey | 99, Other <i>(specify below)</i>",Select all that apply.,,,,,,y,,,,, @NONEOFTHEABOVE=0
fcc_sat_typ_oth,hfa_patient_satisfaction,,text,Please specify other mechanism to provide feedback:,,,,,,,[fcc_sat_typ(99)] = '1',,,,,,
fcc_sat_col,hfa_patient_satisfaction,,yesno,Does facility routinely perform patient satisfaction surveys on the services offered at the facility?,,"Routinely is defined as occurring at regular intervals throughout the year (e.g. daily, weekly, monthly, quarterly) and must be done at least annually. ",,,,,,y,,,,,
fcc_sat_hed_5,hfa_patient_satisfaction,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
fcc_sat_com,hfa_patient_satisfaction,,notes,Comments:,,,,,,,,,,,,,
fcc_fam_hed_1,hfa_family_involvement,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
