Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
lab_id_recid,hfa_identification,,text,Record ID,,,,,,,,,,,,,
lab_id_hed_1,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
lab_id_ban_1,hfa_identification,,descriptive,,,,,,,,,,,,,,
lab_id_hed_2,hfa_identification,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Pharmacy and Laboratory</div>",,,,,,,,,,,,,
lab_id_ins_1,hfa_identification,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> This module includes six sections:

Section 1 - Pharmacy (direct these questions to the Pharmacist)<br>
Section 2 - Laboratory Equipment, Supplies and Testing (direct these questions to the Head Laboratory Technician)<br>
Section 3 - Laboratory Linkage to Neonatal Unit (direct these questions to the Head Laboratory Technician)<br>
Section 4 - Blood Bank (direct these questions to the Head Laboratory Technician)<br>
Section 5 - Neonatal Unit Linkage to Laboratory (direct these questions to the nurse in charge)<br>
Section 6 - Neonatal Unit Medicines (direct these questions to the nurse in charge)<br>
</p>",,,,,,,,,,,,,
lab_id_hed_3,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
lab_id_ctry,hfa_identification,,radio,Country:,"1, Malawi | 2, Kenya | 3, Tanzania | 4, Nigeria | 5, Ethiopia",,,,,,,y,,,,,
lab_id_facid_mw,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[lab_id_ctry] = '1',y,,,,,
lab_id_facid_ke,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[lab_id_ctry] = '2',y,,,,,
lab_id_facid_tz,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[lab_id_ctry] = '3',y,,,,,
lab_id_facid_nga,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[lab_id_ctry] = '4',y,,,,,
lab_id_facid_et,hfa_identification,,dropdown,Facility Name:,"1, Fill in Facility IDs",,,,,,[lab_id_ctry] = '5',y,,,,,
lab_id_hed_4,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
lab_id_dtfrm,hfa_identification,,text,Data Collection Date:,,,date_ymd,,,,,y,,,,,
lab_id_iw_num,hfa_identification,,radio,How many data collectors collected this data?,"1, 1 data collector | 2, 2 data collectors",,,,,,,y,,,,,
lab_id_hed_5,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collector #1</div>",,,,,,,[lab_id_iw_num] = '1' or [lab_id_iw_num] = '2',,,,,,
lab_id_iw_nam_1,hfa_identification,,text,Data Collector First and Last Name:,,,,,,y,[lab_id_iw_num] = '1' or [lab_id_iw_num] = '2',y,,,,,
lab_id_hed_6,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Data Collector #2</div>",,,,,,,[lab_id_iw_num] = '2',,,,,,
lab_id_iw_nam_2,hfa_identification,,text,Data Collector First and Last Name:,,,,,,y,[lab_id_iw_num] = '2',,,,,,
lab_id_hed_7,hfa_identification,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
lab_id_com,hfa_identification,,notes,Comments:,,,,,,,,,,,,,
lab_p_hed_1,hfa_pharmacy,,descriptive,"<div style=""background-color:#82cdbf; padding:5px""></div>",,,,,,,,,,,,,
lab_p_ban_1,hfa_pharmacy,,descriptive,,,,,,,,,,,,,,
lab_p_hed_2,hfa_pharmacy,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">Pharmacy</div>",,,,,,,,,,,,,
lab_p_ins_1,hfa_pharmacy,,descriptive,"<p style=""font-weight:normal""><i><b>INSTRUCTIONS:</b> Direct these questions to the pharmacist. For some questions, you will need to ask and observe the staff or specific items/spaces at the facility. An item is not functional if it is in need of repair. Please do not leave any variable blank. If a date is unknown, enter 1999/01/01. If a free text variable is unknown and an answer is required, write ""-1"" for numeric fields and ""unknown"" for text fields. If a multiple-choice variable is unknown, select ""unknown"".<br><br><b>Prompt:</b> “I’d like to ask you a few questions and make some observations about the pharmacy and pharmacy supplies.”<br></i></p>",,,,,,,,,,,,,
lab_p_hed_3,hfa_pharmacy,,descriptive,"<div style=""background-color:#82cdbf; padding:10px""></div>",,,,,,,,,,,,,
lab_p_rp_num,hfa_pharmacy,,radio,Number of Respondents Interviewed:,"1, 1 respondent|2, 2 respondents|3, 3 respondents|4, 4 respondents|5, 5 respondents",,,,,,,y,,,,,
lab_p_rp_hed_1,hfa_pharmacy,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #1</div>",,,,,,,[lab_p_rp_num] >= 1,,,,,,
lab_p_rp_nam_1,hfa_pharmacy,,text,Respondent Name (First and Last):,,,,,,y,[lab_p_rp_num] >= 1,y,,,,,
lab_p_rp_pos_1,hfa_pharmacy,,radio,Respondent Position:,"7, Pharmacist | 6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[lab_p_rp_num] >= 1,y,,,,,
lab_p_rp_othpos_1,hfa_pharmacy,,text,"If other position, please specify: ",,,,,,,[lab_p_rp_pos_1] = '99',,,,,,
lab_p_rp_ph_1,hfa_pharmacy,,text,Respondent Phone Number:,,,,,,y,[lab_p_rp_num] >= 1,,,,,,
lab_p_rp_hed_2,hfa_pharmacy,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #2</div>",,,,,,,[lab_p_rp_num] >= 2,,,,,,
lab_p_rp_nam_2,hfa_pharmacy,,text,Respondent Name (First and Last):,,,,,,y,[lab_p_rp_num] >= 2,,,,,,
lab_p_rp_pos_2,hfa_pharmacy,,radio,Respondent Position:,"7, Pharmacist | 6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[lab_p_rp_num] >= 2,,,,,,
lab_p_rp_othpos_2,hfa_pharmacy,,text,"If other position, please specify: ",,,,,,,[lab_p_rp_pos_2] = '99',,,,,,
lab_p_rp_ph_2,hfa_pharmacy,,text,Respondent Phone Number:,,,,,,y,[lab_p_rp_num] >= 2,,,,,,
lab_p_rp_hed_3,hfa_pharmacy,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #3</div>",,,,,,,[lab_p_rp_num] >= 3,,,,,,
lab_p_rp_nam_3,hfa_pharmacy,,text,Respondent Name (First and Last):,,,,,,y,[lab_p_rp_num] >= 3,,,,,,
lab_p_rp_pos_3,hfa_pharmacy,,radio,Respondent Position:,"7, Pharmacist | 6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[lab_p_rp_num] >= 3,,,,,,
lab_p_rp_othpos_3,hfa_pharmacy,,text,"If other position, please specify: ",,,,,,,[lab_p_rp_pos_3] = '99',,,,,,
lab_p_rp_ph_3,hfa_pharmacy,,text,Respondent Phone Number:,,,,,,y,[lab_p_rp_num] >= 3,,,,,,
lab_p_rp_hed_4,hfa_pharmacy,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #4</div>",,,,,,,[lab_p_rp_num] >= 4,,,,,,
lab_p_rp_nam_4,hfa_pharmacy,,text,Respondent Name (First and Last):,,,,,,y,[lab_p_rp_num] >= 4,,,,,,
lab_p_rp_pos_4,hfa_pharmacy,,radio,Respondent Position:,"7, Pharmacist | 6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[lab_p_rp_num] >= 4,,,,,,
lab_p_rp_othpos_4,hfa_pharmacy,,text,"If other position, please specify: ",,,,,,,[lab_p_rp_pos_4] = '99',,,,,,
lab_p_rp_ph_4,hfa_pharmacy,,text,Respondent Phone Number:,,,,,,y,[lab_p_rp_num] >= 4,,,,,,
lab_p_rp_hed_5,hfa_pharmacy,,descriptive,"<div style=""background-color:#82cdbf; padding:5px"">Respondent #5</div>",,,,,,,[lab_p_rp_num] >= 5,,,,,,
lab_p_rp_nam_5,hfa_pharmacy,,text,Respondent Name (First and Last):,,,,,,y,[lab_p_rp_num] >= 5,,,,,,
lab_p_rp_pos_5,hfa_pharmacy,,radio,Respondent Position:,"7, Pharmacist | 6, Hospital Management | 5, Biomedical Engineering Technician | 1, NEST Coordinator | 2, Nurse | 3, Data Clerk | 4, Clinician | 99, Other <i>(specify below)</i>",,,,,,[lab_p_rp_num] >= 5,,,,,,
lab_p_rp_othpos_5,hfa_pharmacy,,text,"If other position, please specify: ",,,,,,,[lab_p_rp_pos_5] = '99',,,,,,
lab_p_rp_ph_5,hfa_pharmacy,,text,Respondent Phone Number:,,,,,,y,[lab_p_rp_num] >= 5,,,,,,
lab_p_gn_hed,hfa_pharmacy,,descriptive,"<div class=""h4"" style=""background-color:#82cdbf;padding:10px"">General System</div>",,,,,,,,,,,,,
lab_p_gn_avl,hfa_pharmacy,,yesno,Does this facility have a pharmacy/drugstore?,,,,,,,,y,RV,,,,
lab_p_gn_24h,hfa_pharmacy,,yesno,Is the pharmacy accessible 24 hours a day 7 days per week?,,,,,,,[lab_p_gn_avl] = '1',,RV,,,,
lab_p_gn_mjsor,hfa_pharmacy,,radio,What is the major source of medicines for this health facility?,"1, Government supplier|2, Private pharmacy|3, Non-governmental organization/bilateral/multilateral|4, Mission|5, Other <i>(specify below)</i>","If there are two sources of equal importance, specify both in <b>Other</b>.",,,,,,,RV,,,,
lab_p_gn_mjsor_oth,hfa_pharmacy,,text,Other source of medicines:,,,,,,,[lab_p_gn_mjsor] = '5',,RV,,,,
